ID,TITLE,CATEGORY
4198,Alps Advisors Inc. Purchases New Holdings in GameStop Corp. (NYSE:GME),et
4199,Western Digital Corp (NASDAQ:WDC) Shares Sold by Alps Advisors Inc.,et
4200,"UNO, World's #1 Card Game, Announces New Game - DOS",et
4201,GameUnits (UNITS) Price Tops $0.12,et
4202,The Latest: Bjoergen becomes most decorated Winter Olympian,et
4203,Soapbox: Switch Continues To Give Older Games A Second (Or Third) Chance At Redemption,et
4204,Movie review: A cast of funny actors proves they’re game for ‘Game Night’,et
4205,Juicing Helps Digestion Juice Mix Peach Vodka Good,et
4206,Avid Board to Add Daniel Silvers as New Independent Director,et
4207,"In costume awards, 'Shape of Water,' 'I, Tonya,' 'Game of Thrones,' 'Wonder Woman' and 'Handmaid's Tale' win",et
4208,How Fergie Stole The Show At The All Stars Game- And Not In A Good Way [EXCLUSIVE],et
4209,Immersive technology blurs the line between physical and digital worlds,et
4210,Cold Feet: The Best Houston Music This Week,et
4211,Crestwood downs Pittston Area in 5A thriller,et
4212,"Grula's talent, temperament a perfect blend for Cougars",et
4213,RAINCOAT from MANNITTONI GREAT GIFT Happy Valentine's day.,et
4214,Green seeking fifth Bradford title as he knocks out holder,et
4215,Boyd Gaming ( BYD -7.7% ) trades sharply lowering after sett,et
4216,Celeste review (Dragon Gaming): overcoming mental illness one platform at a time,et
4217,Movie review: A cast of funny actors proves they’re game for ‘Game Night’,et
4218,XCOM 2 gets Xbox One Enhanced as new Collection arrives for purchase,et
4219,Metal Gear Survive gets launch trailer as the game releases in the United States,et
4220,It kind of feels like Nintendo is on cruise control a bit with the Switch now | Page 16 | ResetEra,et
4221,Seniors lead the way on Senior Night to help keep Bears’ streak alive,et
4222,Winning numbers drawn in 'All or Nothing Morning' game,et
4223,Savage Love: 'Bi & Biphobia',et
4224,"Opening this week: Annihilation, Every Day and more",et
4225,Local artists’ work to be exhibited at International Modern Quilt Show,et
4226,ClanHQ: A social hub for superheroes still learning to fly - AndroidPIT,et
4227,Brackley fail to peg it back after Bourne press home,et
4228,Now poop is all over the toy aisle,et
4229,McDermott Convenes Top Private Equity Leaders to Discuss Opportunities in the Rapidly Changing,et
4230,Mueller Charges Lawyer With Lying in Ukraine-Related Case,et
4231,The Latest: Bjoergen becomes most decorated Winter Olympian,et
4232,Jimmy Kimmel Explains Why He Laughed During Fergie's National Anthem | Complex,et
4233,"Burnout Paradise Remastered Announced For PS4, Xbox One, And PC - GameSpot",et
4234,Eagle provides a ‘golden’ moment to crown a day of birding,et
4235,The Latest: Bjoergen becomes most decorated Winter Olympian,et
4236,Marian Gunderson,et
4237,"Schaeffer Jr., William W. ""Bill""",et
4238,"Event GM call 2018 – WFRP, The One Ring, Adventures in Middle-earth, Doctor Who RPG",et
4239,Big Brother Naija: K-Brule feels responsible for K-Square's disqualification from #BBNaija,et
4240,Champions League: 5 things we learnt from Tuesday's games,et
4241,Keith ‘Mac’ McVay,et
4242,Lahore Qalandars get main sponsor for PSL - Associated Press Of Pakistan,et
4243,"At Gucci, Purses Are Out, and Baby Dragons Are In",et
4244,NYS Assembly Considers Legislation to Tackle Shady Lawsuit Loans,et
4245,Wright State basketball history: 1993 Champions - Fairborn Daily Herald,et
4246,Rusty Rams get rollin’ over Urbana - Fairborn Daily Herald,et
4247,Sally Field busts out old outfits at costume guild awards,et
4248,"So, Models Carried Human Heads at Gucci Fall 2018",et
4249,Zen Pinball 2 1.31 - Pinball game with many themes for purchase. (Free),et
4250,Former IceCap O’Dell Helps Canada Advance,et
4251,Cryptocurrency markets improve as Bitcoin hits a three-week high,et
4252,Steven Adams having one of the quirkiest (and best) rebounding seasons in recent memory,et
4253,Stats: Fleetwood Town v Portsmouth,et
4254,Mt. Airy News | Bears gut out win over Villains,et
4255,Mt. Airy News | Hitting their Stride: Lady Hounds Advance,et
4256,Fleetwood v Portsmouth - Team Sheets (20/2/18),et
4257,"Olympics: U.S. Could've Done Better, But No Need to Overreact",et
4258,"Some vacation-planning strategies, from websites to haggling",et
4259,"FIRST LOOK: ""Panther"" Reigns, as ""Annihilation,"" ""Game Night"" Enter Cinemas",et
4260,The Latest: Bjoergen becomes most decorated Winter Olympian,et
4261,Secret of Mana Review – Cruelty of Years (PS4),et
4262,Goku’s Dad is the Star of the Latest Dragon Ball FighterZ Trailer,et
4263,Best home cinema amplifiers,et
4264,Guide To LA’s New ‘Hot Tub Cinema Club’ Movie Screenings « CBS Los Angeles,et
4265,Samsung Debuts World’s First 3D Cinema LED Screen Theater in Switzerland,et
4266,"Filmgoer dies after freak electric chair accident at Vue Cinema in Star City, Birmingham",et
4267,"Occultism, cinema and architecture: the Bradbury Building",et
4268,Man dies after getting trapped in cinema seat | Film,et
4269,Raid Review {3.5/5}: Entertaining and impressive story that is value for your money,et
4270,Man dies after getting head stuck in cinema seat,et
4271,Man Dies After Getting Head Stuck in Birmingham Movie Theater Seat,et
4272,11 Rare And Unseen Pictures Of Sridevi That Will Remind You Of The Good Old Days! - Indiatimes.com,et
4273,"For Indian women like me, the death of Sridevi is about so much more than Bollywood",et
4274,Shelved? Star Cinema maintains 'Darna' in full swing,et
4275,"Kapamilya stars, sabay-sabay nag-celebrate ng birthday! | Star Cinema",et
4276,'Dark day' for cinema: Legendary actress Sridevi dies of cardiac arrest at 54,et
4277,Pia-Gerald movie earns P10 million on opening day,et
4278,Sridevi: 'A great loss to Indian cinema' | India News,et
4279,"LOOK: Sharon meets up with Gabby, sparks reunion movie talk",et
4280,"Maymay, inalala ang talagang bumago sa buhay niya | Star Cinema",et
4281,Maymay displays heartfelt gratitude to Kathryn and Daniel | Star Cinema,et
4282,End of an era as Stockport's Grand Central Cinema is set to be demolished,et
4283,"SRK works his charm at ET GBS with 'Raees' dialogue, songs, & future of cinema; read complete speech",et
4284,‘It’s time’: Blockbuster director Cathy Garcia-Molina set to retire,et
4285,LIVE: Sridevi Funeral News Updates: Cinema icon Sridevi cremated with state honours,et
4286,"Black Panther breaks box office records in East, West and South Africa — Quartz",et
4287,Boney Kapoor to make a documentary on the late Sridevi? | bollywood | Hindustan Times,et
4288,"Screenshot: KyodoNews While this statue isn’t life-sized, t",et
4289,"‘My Perfect You’ trailer: Pia, Gerald show cute chemistry",et
4290,Why southern stars like Sridevi found more success in Bollywood,et
4291,Martial law musical wins in Colombia,et
4292,Sridevi (1963-2018): The diva who lit up Indian cinema screen,et
4293,Man dies after 'getting head stuck in UK Vue Cinema seat',et
4294,South Bay dine-in movie theaters opening soon,et
4295,How Bea Alonzo feels about Pia Wurtzbach spoofing her,et
4296,"UP Government Backs Rs 500-Crore ‘Ramayana’, MoU Signed To Shoot The Film In The State - Indiatimes.com",et
4297,"After 'La Luna,' Kathryn, Daniel gear up for new film",et
4298,Man dies after his head gets stuck in ‘luxury’ cinema seat in Birmingham,et
4299,Qual estereótipo gay do cinema você é?,et
4300,"Why Sridevi's non-Bollywood work, especially in Tamil cinema, was ground-breaking - The Indian Express",et
4301,"Denis Villeneuve says his Dune adaptation will be “two films, maybe more”",et
4302,A Man Died After His Head Was Trapped By a Reclining Movie Theater Seat,et
4303,Alamo Drafthouse video store to let you rent any movie for free | EW.com,et
4304,"Sridevi: If Bollywood is the world's biggest film industry, then she was its queen. - CNN",et
4305,"Sridevi: If Bollywood is the world's biggest film industry, then she was its queen. - CNN",et
4306,Sridevi: The diva who lit up Indian cinema screen | Hindi Movie News - Times of India,et
4307,VUE Cinema Birmingham: Man dies after getting head stuck in seat - The Washington Post,et
4308,Rishi Kapoor thanks Oscars for remembering Shashi Kapoor and Sridevi,et
4309,Remembering Sridevi: Can you think of any other star who has continuously faced the camera for 50 years? | The Indian Express,et
4310,New Disney movies | New Disney film,et
4311,LOOK: Pia stuns in a suit at 'My Perfect You' premiere with Gerald,et
4312,"LOOK: Maymay, Edward join cast of Kim Chiu-Ryan Bang movie | ABS-CBN News",et
4313,"""Kareena And I Practised Our Choice To Work Post Marriage, Kids"": Karisma",et
4314,'Bajrangi Bhaijaan' crosses Rs 200 cr mark in China | Hindi Movie - Times of India,et
4315,Man shot after bar brawl in Cleveland's Old Brooklyn neighborhood | cleveland.com,et
4316,A Man Died After His Head Was Trapped By a Reclining Movie Theater Seat,et
4317,"PHOTOS: Boney Kapoor, Anil Kapoor perform Sridevi’s asthi visarjan in Haridwar | The Indian Express",et
4318,Boney Kapoor to offer prayers for Sridevi at Haridwar - Bollywood Hungama,et
4319,Majestic journey of Sridevi in Tamil,et
4320,"Fathom Sets One-Night ‘Cobra Kai,’ ‘Karate Kid’ Showings – Variety",et
4321,'Ang hirap maging aktor!' Atom talks about 'Citizen Jake',et
4322,Legendary Bollywood actor Sridevi passes away,et
4323,"L.I. moviegoer dumps popcorn tub on noisy tot's head, hitting her",et
4324,"Priyanka Chopra Pens Down A Tribute To Sridevi, Says She Changed The Course Of Indian Cinema - Indiatimes.com",et
4325,"Wood Green shooting: grieving mother pays tribute to victim Kelvin Odunuyi aka Dipdat, who was gunned down in escalating gang &apos;postcode&apos; war",et
4326,'They need me': Why Cathy Garcia-Molina is retiring from directing,et
4327,"Twitter gets emotional after Oscars' tribute to Sridevi, Shashi Kapoor | Hindi Movie News - Times of India",et
4328,"Scarlett Moffatt infuriates posh neighbours with her new £300,000 'eyesore' house in picturesque village",et
4329,15 Quotes of Shah Rukh Khan at ET GBS that will change the way you look at the future of films - Bollywood Hungama,et
4330,"Shashi Kapoor, Sridevi remembered at Oscars",et
4331,Disney Created Compton's Only Cinema So Ava DuVernay Could Show A Wrinkle in Time to Local Kids,et
4332,"""Pia Wurtzbach's fab trip to Dubai""",et
4333,‘The Wonder Of All Things’ Movie to Be Adapted & Directed By Cheryl Dunye | Deadline,et
4334,19 unusual Southern California movie theaters where you should see a film,et
4335,funeral: Bollywood celebs bid final goodbye | Hindi Movie News - Times of India,et
4336,Rekha’s deep connection with Sridevi - Bollywood Hungama,et
4337,"Sridevi has no history of heart disease, says Sanjay Kapoor",et
4338,[Video] Alia Bhatt describes legendary actor Sridevi in just three words and we couldn’t agree more!,et
4339,Zero was Sridevi’s last film and Shah Rukh Khan was her last male co-star,et
4340,There's going to be a 'Sopranos' movie written by the show's creator — here's everything we know so far,et
4341,The Sridevi South India lost,et
4342,Bollywood star Sridevi dead at 54 - Entertainment - CBC News,et
4343,"Sadma, English Vinglish, Lamhe: Looking back at Sridevi's 10 legendary performances - Bollywoodlife.com",et
4344,The Shape of Water's Oscars win is the triumph of a real artist and immersive cinema | Peter Bradshaw | Film,et
4345,"Pakistan bans Anushka Sharma's film 'Pari' for promoting 'non-Islamic values, anti-Muslim sentiments' | Hindi Movie News",et
4346,There's going to be a 'Sopranos' movie,et
4347,"Sridevi, Bollywood Leading Lady of ’80s and ’90s, Dies at 54",et
4348,In Pics: Sridevi’s loving moments with daughters Janhvi and Khushi Kapoor,et
4349,Movie theater upgrades coming to Station Casinos properties,et
4350,RUMOR: AVENGERS: INFINITY WAR Possible Run Time Points To Longest Movie In Marvel Cinematic Universe,et
4351,"Sridevi Kapoor, Bollywood superstar, dies aged 54 | Film",et
4352,"‘Sridevi, actress’: Celebrating a superstar robbed of her due by a patriarchal northern ahistorical gaze",et
4353,"Scroll.in - Latest News, In depth news, India news, Politics news, Indian Cinema, Indian sports, Culture, Video News",et
4354,Sridevi's last pic with sister-in-law Sunita,et
4355,Oscars 2018: A Tribute To Sridevi And Shashi Kapoor From Hollywood,et
4356,Every Record 'Black Panther' Has Broken (So Far),et
4357,Meryl Streep’s 13 Most Dramatic Movie Transformations,et
4358,LOOK: Bea Alonzo promotes Gerald-Pia movie,et
4359,"The Newmans, a movie music dynasty",et
4360,'Shazam!' Movie Logo Revealed,et
4361,Black Panther film: 'Game-changing' movie takes $1bn - BBC News,et
4362,The Best Movie Characters of All Time,et
4363,New 'Dragon Ball' Movie Confirms Freeza's Involvement,et
4364,"DiCaprio, Pitt to star in Tarantino's Manson movie",et
4365,"The Newmans, a movie music dynasty",et
4366,"""JoshLia’s kilig moments at the PMPC Star Awards for Movies 2018""",et
4367,Pari movie review: Anushka Sharma’s bland film doesn’t know what it wants to be | movie reviews | Hindustan Times,et
4368,'Death Of Superman' Animated Movie First Look Released,et
4369,Mark Wahlberg’s ‘Six Billion Dollar Man’ Set for 2019 Summer Release,et
4370,"New Quentin Tarantino Movie Gets Title, Cast, and Synopsis | Collider",et
4371,Brad Pitt Joins Leonardo DiCaprio In Quentin Tarantino's New Movie,et
4372,Chris Hemsworth in Talks for New Men In Black Movie,et
4373,Black Panther film: 'Game-changing' movie takes $1bn - BBC News,et
4374,"""JaDine’s movie set for release on March 31""",et
4375,Inigo Pascual wants to do a movie with Maris Racal,et
4376,The New 'Avengers: Infinity War' Trailer Is Beautiful Chaos,et
4377,Razzie Awards name 'The Emoji Movie' worst film of 2017,et
4378,Los Angeles to declare Feb. 27 as 'Coco Day' in honor of Oscar-nominated movie,et
4379,Amitabh Bachchan’s intuitive tweet before Sridevi’s sudden demise | Hindi Movie,et
4380,"""Will Angelica Panganiban star in a movie with Carlo Aquino?""",et
4381,Boney Kapoor talks about Sridevi’s final moments | Hindi Movie News,et
4382,DiCaprio and Pitt team up for new Quentin Tarantino movie,et
4383,Big Sean surprises Detroit students at Black Panther movie,et
4384,'Black Panther' wins 5th-straight box-office — a first since 'Avatar' - Business Insider,et
4385,'Dragon Ball Super' Movie Reveals First Teaser Trailer,et
4386,The Sopranos Prequel Movie in the Works at New Line,et
4387,‘Sopranos’ Movie Prequel in Works From David Chase – Variety,et
4388,Man Dies After Getting Head Stuck In Movie Theater Seat,et
4389,Avengers: Infinity War (Movie Trailer) | Video,et
4390,If Movie Titles Were Honest (March 2018 Edition),et
4391,Look Inside George Lucas’ New Movie Museum – Variety,et
4392,Flamin' Hot Cheetos movie coming in hot: Report,et
4393,Brad Pitt Joins Leonardo DiCaprio in Quentin Tarantino’s Manson Movie,et
4394,'Black Panther' wins the box-office for the 5th straight weekend -- a first since 'Avatar',et
4395,The 29 Steamiest Movie Sex Scenes of All Time,et
4396,20 Brilliant Internet Reactions to the New Infinity War Trailer,et
4397,There's going to be a 'Sopranos' movie,et
4398,Olivia Jordan shows support for Pia Wurtzbach's movie,et
4399,Netflix Is Reuniting Key and Peele for a New Movie,et
4400,"Raid movie review: Ajay Devgn is in top form, but the film is not thrilling enough | movie reviews | Hindustan Times",et
4401,The amount of money The Rock gets paid for a single movie is unheard of in today's movie business,et
4402,Keanu Reeves May Lead Netflix Superhero Movie | Collider,et
4403,The Emoji Movie named worst picture at 2018 Razzies,et
4404,The amount of money The Rock gets paid for a single movie is unheard of in today's movie business,et
4405,Avengers: Infinity War Times - Movie Tickets | Fandango,et
4406,Thoroughbreds: Cory Finley Discusses His Murderously Good Debut Movie | IndieWire,et
4407,"DiCaprio, Pitt team up for new Quentin Tarantino movie",et
4408,"Tiger Shroff Celebrates Birthday With Disha Patani & Sister Krishna, Take Them Out For A Movie - Indiatimes.com",et
4409,'Booster Gold' Movie Still In Development According To Greg Berlanti,et
4410,South Bay dine-in movie theaters opening soon,et
4411,Next 'Fantastic Beasts' movie thrills fans with return to Hogwarts,et
4412,iPic movie theater coming to downtown Fort Lauderdale,et
4413,Movie star dishes on plan to win back California,et
4414,"Raid movie review: SUPERB! This nail-biting thriller is gripping and entertaining, says Taran Adarsh",et
4415,From Haida Gwaii to Wakanda: Indigenous artist gets first major film credit with Black Panther,et
4416,Pia-Gerald movie earns P10 million on opening day,et
4417,Movie review: Sonu Ke Titu Ki Sweety,et
4418,Bollywood-Style Archie Comics Movie in the Works – Variety,et
4419,Julia wants to remake Claudine-Rico Yan movie with Joshua,et
4420,"The new Tomb Raider movie isn't bad, but it would be a lot more fun if it was | PC Gamer",et
4421,'Black Panther' Is The Most Tweeted About Movie Ever,et
4422,80% of mass shooters had no fascination in movie video games psychologist claims,et
4423,Sonu Ke Titu Ki Sweety movie review: The unfunny story of a frustrated misogynist | movie reviews | Hindustan Times,et
4424,"After surviving Netflix, Redbox and a fire, Anaheim’s Movie Town is shutting down",et
4425,Man Dies After Being Stabbed In Dundalk Movie Theater Parking Lot « CBS Baltimore,et
4426,Google Is Working on a Movie About Grace Hopper,et
4427,Joss Whedon Exits as ‘Batgirl’ Movie Director,et
4428,Boney Kapoor talks about Sridevi’s final moments | Hindi Movie News,et
4429,Christian Indie ‘I Can Only Imagine’ Set to Over-Perform at Box Office,et
4430,"Pari Movie Review, Trailer, & Show timings at",et
4431,'X-Force' Movie May Film This Fall,et
4432,Joss Whedon bows out of Batgirl movie,et
4433,Movie theater upgrades coming to Station Casinos properties,et
4434,"Bright Star Says Movie Was For Fans Not ""Highbrow"" Critics",et
4435,"After surviving Netflix, Redbox and a fire, Anaheim’s Movie Town is shutting down",et
4436,'Flashpoint' Movie Villains Rumored to Be Revealed,et
4437,"Hate Story 4 movie review: Acting, what’s that?",et
4438,"Hollywood attacks NRA while using guns for movie, TV violence",et
4439,'Sopranos' Prequel Movie in the Works at New Line,et
4440,Screenshot: Warner Bros. The new Tomb Raider movie is out t,et
4441,Veteran actress Shammi passes away | Hindi Movie News,et
4442,"""Anne Curtis and Dingdong Dantes start filming their new movie""",et
4443,Christopher Robin trailer: Disney's Winnie the Pooh movie,et
4444,New JaDine movie 'Never Not Love You' gets release date,et
4445,"Pia on her new movie — ‘Before Miss U, this was my first dream’",et
4446,‘Black Panther’ Just Became the Third-Highest Domestically Grossing Marvel Movie Ever,et
4447,'Avengers 4' Is A Very Different Movie From 'Infinity War',et
4448,Marvel bumps up the release date for ‘Avengers: Infinity War’,et
4449,"‘Black Panther’ keeps smashing records, exceeding box-office expectations and making history - The Washington Post",et
4450,See Renée Zellweger channel Judy Garland in new movie pic,et
4451,Cupertino Square movie theater at Vallco will close,et
4452,"'Black Panther' earns $1 billion, tops 'Wrinkle' at box office",et
4453,Bollywood legend Sridevi passes away,et
4454,‘Black Panther’ Is Most Tweeted About Movie Ever,et
4455,Oscars 2018: Academy Awards Unfold Amid Changing Movie Business – Variety,et
4456,Ek real katha: Girl offers movie fee to build loos,et
4457,Sridevi: 'A great loss to Indian cinema' | India News,et
4458,Sridevi (1963-2018): The diva who lit up Indian cinema screen,et
4459,Boney Kapoor to offer prayers for Sridevi at Haridwar - Bollywood Hungama,et
4460,"Priyanka Chopra Pens Down A Tribute To Sridevi, Says She Changed The Course Of Indian Cinema - Indiatimes.com",et
4461,Majestic journey of Sridevi in Tamil,et
4462,Sridevi: The diva who lit up Indian cinema screen | Hindi Movie News - Times of India,et
4463,'Dark day' for cinema: Legendary actress Sridevi dies of cardiac arrest at 54,et
4464,"For Indian women like me, the death of Sridevi is about so much more than Bollywood",et
4465,In Pics: Sridevi’s loving moments with daughters Janhvi and Khushi Kapoor,et
4466,"Scroll.in - Latest News, In depth news, India news, Politics news, Indian Cinema, Indian sports, Culture, Video News",et
4467,Sridevi's last pic with sister-in-law Sunita,et
4468,Candid pictures of Sridevi with her family,et
4469,"UP Government Backs Rs 500-Crore ‘Ramayana’, MoU Signed To Shoot The Film In The State - Indiatimes.com",et
4470,Bollywood legend Sridevi passes away,et
4471,10 films show why India has been a loser at Oscars,et
4472,L K Advani express grief over Sridevi's demise | Hindi Movie News - Times of India,et
4473,Soundarya Rajinikanth slams ‘2.0’ teaser leak,et
4474,"Boney Kapoor Posts An Emotional Message On Sridevi’s Twitter Account, Opens Up About Losing Sridevi",et
4475,"""Kareena And I Practised Our Choice To Work Post Marriage, Kids"": Karisma",et
4476,Sridevi dies at 54: Sportspersons offer condolences after Bollywood actress’ shocking death,et
4477,"Twitter gets emotional after Oscars' tribute to Sridevi, Shashi Kapoor | Hindi Movie News - Times of India",et
4478,"Sridevi Kapoor, Bollywood superstar, dies aged 54 | Film",et
4479,Bollywood star Sridevi dead at 54 - Entertainment - CBC News,et
4480,Bollywood star Sridevi died from 'accidental drowning' | India,et
4481,Ever Wondered Who Played The Role Of “JADOO” In Hrithik Roshan’s ‘Koi Mil Gaya’? Know It Here!,et
4482,"PHOTOS: Boney Kapoor, Anil Kapoor perform Sridevi’s asthi visarjan in Haridwar | The Indian Express",et
4483,"Remembering Late Actor Sridevi, Mahesh Bhatt Shares A Heartwarming Story Of Her Professionalism - Indiatimes.com",et
4484,Sridevi Was Motionless In Bathtub When Boney Kapoor Found Her: Report,et
4485,"Shashi Kapoor, Sridevi remembered at Oscars",et
4486,Bollywood star Sridevi died from 'accidental drowning' | India News,et
4487,Sridevi Last Movie is SRK's Zero: Shah Rukh Khan's 'Zero' to be Sridevi's last film?,et
4488,Sridevi Last Movie is SRK's Zero: Shah Rukh Khan's 'Zero' to be Sridevi's last film?,et
4489,"Amitabh Bachchan starts following Congress leaders on Twitter, triggers speculation | bollywood | Hindustan Times",et
4490,Pari Screamer 7: This one re-establishes that watching this Anushka Sharma film will not be a child’s play – watch video!,et
4491,"Amitabh Bachchan starts following Cong leaders on Twitter, triggers speculation | Hindi Movie News - Times of India",et
4492,Actress Sridevi passes away in Dubai,et
4493,"Yesterday They Called Me A Poet & Today A Slut, Says The Model Of Breastfeeding Magazine Cover - Indiatimes.com",et
4494,"‘Sridevi, actress’: Celebrating a superstar robbed of her due by a patriarchal northern ahistorical gaze",et
4495,"After Kaala, Rajinikanth-Shankar’s 2.0 teaser gets leaked",et
4496,Does Janhvi Kapoor’s Reply To Akshat Rajan’s ‘Birthday’ Wish Drops Hint About Her Relationship Status?,et
4497,"Mirchi Music Awards 2018 full winners list: Shreya Ghoshal, Ayushmann Khurrana, AR Rahman win big",et
4498,Amitabh Bachchan gets emotional as Sridevi’s mortal remains reach her Lokhandwala residence,et
4499,"Sadma, English Vinglish, Lamhe: Looking back at Sridevi's 10 legendary performances - Bollywoodlife.com",et
4500,"Priya Prakash Varrier pays tribute to Sridevi, sings 'Kabhi Alvida Naa Kehna' song—Watch | Music News",et
4501,"Boney Kapoor Had Fulfilled Sridevi’s ‘LAST WISH’, What’s Her Last Wish?",et
4502,Pari screening: Virat Kohli supports Anushka Sharma like a doting husband,et
4503,Here’s why Salman Khan chose not to tweet about Sridevi’s sudden demise,et
4504,Why Sridevi Was Wrapped In Tricolor During Last Journey? Here’s The Reason,et
4505,Sridevi Funeral News: Dubai police hand over letters for release of Sridevi's body: India Consulate,et
4506,"Sridevi, From Child Star To Superstar. There Will Never Be Another",et
4507,Actress Sridevi passes away in Dubai - Khaleej Times,et
4508,Oscars 2018: A Tribute To Sridevi And Shashi Kapoor From Hollywood,et
4509,"Sridevi, Bollywood Leading Lady of ’80s and ’90s, Dies at 54",et
4510,"Sridevi death LIVE updates: Body being taken to airport, expected to reach gate no 8 at Mumbai airport late evening | bollywood | Hindustan Times",et
4511,Sridevi’s sister Srilatha Yanger who’s still not known to fans,et
4512,Shocking! Teaser of Rajinikanth and Akshay Kumar’s 2.0 gets LEAKED,et
4513,Will 2.0 teaser leak affect Rajinikanth and Akshay Kumar’s film? Here’s what our trade expert says,et
4514,"Sridevi not only survived the debacle of Roop ki Rani Choron ka Raja but battled every failure with success, here’s how!",et
4515,5 Iconic Movies Of Legendary Actress Sridevi That Were Way Ahead Of Its Time - Indiatimes.com,et
4516,"Our Lives Will Never Be The Same Again, Writes Boney Kapoor In A Letter For His Beloved Sridevi - Indiatimes.com",et
4517,Renuka Shahane Feels Film Industry Is Finally Becoming Progressive About Women-Oriented Roles - Indiatimes.com,et
4518,"Boney Kapoor’s Emotional Note On Losing Sridevi: To The World, She Was Their Chandni, To Me She Was My Love, Friend, Mother To Our Girls",et
4519,When Juhi Called Up Sridevi To Inform She Also Named Her Daughter Jahnavi,et
4520,"Despite Being His Stepmother, Arjun Kapoor Stood By Boney & Sridevi’s Daughters After Her Death",et
4521,Did you know? Sridevi was the real inspiration behind Kareena Kapoor Khan's entry in Bollywood - Bollywoodlife.com,et
4522,B'wood celebrities who died mysteriously,et
4523,Jhanvi Kapoor’s Reveals Something Interesting About Parents Sridevi And Boney Kapoor’s Marriage To Salman Khan,et
4524,Sridevi’s Untimely Death: Piyali Ganguly’s Comments Are Something To Be Noted,et
4525,"Sridevi, Bollywood leading lady of '80s and '90s, dies at 54 - ABC News",et
4526,"Janhvi Kapoor Pens Heart-Wrenching Note On Birthday, Pays Emotional Tribute To Her Mother Sridevi",et
4527,Iconic Bollywood actress Sridevi passes away; here’s how Twitter reacted - The Financial Express,et
4528,Bollywood's 'first female superstar' Sridevi dies aged 54,et
4529,"Sridevi, beloved Bollywood star, has died at 54",et
4530,Sridevi demise: Bollywood celebrities drop by Anil Kapoora s residence to offer condolences,et
4531,Legendary Indian actress Sridevi dies of cardiac arrest,et
4532,Sridevi Kapoor dead at 54 – Legendary Bollywood actress dies of heart attack in Dubai where she was attending family wedding,et
4533,The Many Shades of Sridevi,et
4534,"In Sharjah, a tribute to Sridevi",et
4535,Sridevi: The diva who lit up Indian cinema screen,et
4536,"Dubai Police Cleared The Release Of Sridevi’s Mortals, Kapoor Family Receives Her Body",et
4537,"Sridevi, Bollywood leading lady of '80s and '90s, dies at 54",et
4538,"Sridevi, Bollywood’s Chandni, was a superstar like none other | bollywood | Hindustan Times",et
4539,"Bollywood mourns 'brilliant, beautiful' Sridevi",et
4540,Karan Johar Heartbroken By Sridevi’s Demise; Says ‘Don’t Want To Believe That She Is No More’,et
4541,promises to meet MP responsible for inviting Atwal to events in India,et
4542,Trudeau promises to meet with MP responsible for inviting Jaspal Atwal to events in India,et
4543,"Sridevi: Dubai cops close Sridevi case, body finally reaches Mumbai | Hindi Movie News",et
4544,"Arjun Kapoor, Sanjay Dutt and Kriti Sanon all set for Ashutosh Gowariker’s 18th century battle film - Panipat - Bollywood Hungama",et
4545,Bollywood mourns Sridevi's demise,et
4546,Khichdi Returns: New season to launch on April 14. Here are all the deets,et
4547,Jahnvi Kapoor Got Trolled In The Worst Way For Celebrating Her BirthDay,et
4548,"Boney Kapoor To Make A Documentary On The Life Of His Late Wife Sridevi, Shekhar Kapoor To Helm The Project",et
4549,An innocent Sridevi wanted to settle abroad so she could have ice-creams and milkshakes and watch movies,et
4550,"""She was my childhood and one of the big reasons I became an actor""- Priyanka Chopra pens a heartfelt tribute to late Sridevi - Bollywood Hungama",et
4551,"Sridevi Kapoor, Bollywood’s First Female Superstar, Dies at 54",et
4552,"Sridevi: If Bollywood is the world's biggest film industry, then she was its queen. - CNN",et
4553,"Sridevi: If Bollywood is the world's biggest film industry, then she was its queen. - CNN",et
4554,"Meet Ashraf, A Mechanic In UAE Who Cleared Formalities To Make Sure That Sridevi’s Mortal Remains Reaches India Safely",et
4555,"3 Storeys actor Renuka Shahane: After Hum Aapke Hain Koun, people expected me to behave like Pooja bhabhi | The Indian Express",et
4556,"Sridevi Kapoor: beautiful Bollywood star who was India's lover, friend and mum | Peter Bradshaw",et
4557,Why southern stars like Sridevi found more success in Bollywood,et
4558,Bollywood celebs' stunning maternity shoots,et
4559,Shahid Kapoor’s wife Mira Rajput confesses that she wants to date Sidharth Malhotra - Bollywood Hungama,et
4560,Vivek Oberoi to play villain in Ram Charan's next - Bollywood Hungama,et
4561,John Abraham starrer Parmanu – The Story Of Pokhran gets delayed again - Bollywood Hungama,et
4562,Shah Rukh Khan and Gauri Khan's daughter Suhana Khan bags her first magazine photoshoot - Bollywood Hungama,et
4563,Priyanka-Salman to do a film after a decade?,et
4564,"'Haider' Actor Narendra Jha Passes Away At 55, Bollywood Celebs Mourn The Tragic Loss - Indiatimes.com",et
4565,Did you know? Salman Khan offered Ileana D’cruz Wanted and Kick but she REJECTED them! - Bollywood Hungama,et
4566,Salman Khan and Jacqueline Fernandez to reunite for the third time in Kick 2? - Bollywood Hungama,et
4567,"FIRST PICTURE: After adopting Nisha Kaur Weber, Sunny Leone and Daniel Weber welcome twins Noah and Asher - Bollywood Hungama",et
